                         baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
RSyn0805M02                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0805M03                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0805M04                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0810M02                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0810M03                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0810M04                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0815M02                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0815M03                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0815M04                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0820M02                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0820M03                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0820M04                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0830M02                    -         -        -         -      1.0       1.0         -          -         -          -      1.0        1.0         -           -         -           -          1.0           1.0            -           1.0         1.0          1.0        True            -
RSyn0830M03                    -         -        -         -      1.0       1.0         -          -         -          -      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0830M04                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0             -            -             -         1.0          1.0        True            -
RSyn0840M02                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0840M03                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
RSyn0840M04                    -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0             -            -             -         1.0          1.0        True            -
Syn05M02                       -         -        -         -      1.0       1.0         -          -         -          -      1.0        1.0         -           -         -           -            -             -            -             -         1.0            -        True            -
Syn05M03                       -         -        -         -      1.0       1.0         -          -         -          -      1.0        1.0         -           -         -           -            -             -            -             -         1.0            -        True            -
Syn05M04                       -         -        -         -      1.0       1.0         -          -         -          -      1.0        1.0         -           -         -           -            -             -            -             -         1.0            -        True            -
Syn10M02                       -         -        -         -      1.0       1.0         -          -         -          -      1.0        1.0         -           -         -           -            -             -            -             -         1.0            -        True            -
Syn10M03                       -         -        -         -      1.0       1.0         -          -         -          -      1.0        1.0         -           -         -           -            -             -            -             -         1.0            -        True            -
Syn10M04                       -         -        -         -      1.0       1.0         -          -         -          -      1.0        1.0         -           -         -           -            -             -            -             -         1.0            -        True            -
Syn15M02                       -         -        -         -      1.0       1.0         -          -         -          -      1.0        1.0         -           -         -           -            -             -            -             -         1.0            -        True            -
Syn15M03                       -         -        -         -      1.0       1.0         -          -         -          -      1.0        1.0         -           -         -           -            -             -            -             -         1.0            -        True            -
Syn15M04                       -         -        -         -      1.0       1.0         -          -         -          -      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
Syn20M02                       -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
Syn20M03                       -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0         -           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
Syn20M04                       -         -        -         -      1.0       1.0         -          -         -        1.0      1.0        1.0       1.0           -         -           -          1.0           1.0            -             -         1.0          1.0        True            -
