                              baronBM      baronBMc       baronHR      baronHRc       cplexBM      cplexHRc      knitroBM     knitroBMc      knitroHR     knitroHRc       mosekBM     mosekBM.2      mosekBMc    mosekBMc.2      mosekHRc    mosekHRc.2   sbbknitroBM  sbbknitroBMc   sbbknitroHR  sbbknitroHRc    sbbmosekBM   sbbmosekBMc  sbbmosekHR   sbbmosekHRc
RSyn0805M02              1.019925e-05  1.019930e-05  1.019925e-05  1.991516e-07             -             -  6.650888e-06  8.162193e-06 -1.909091e-02             -             -             -  1.988142e-07  9.887204e-06  1.731155e-07  3.770052e-06             -             -  3.782522e-07  1.926590e-07             -             -           -  1.944615e-07
RSyn0805M03              1.013539e-05  1.013572e-05  1.013538e-05  1.352849e-07             -             -  4.336212e-03             -  3.030804e-07             -             -             -  1.377903e-07  8.233566e-06  1.469901e-07  2.981267e-06             -             -  3.024069e-07  1.324655e-07             -             -           -  1.281192e-07
RSyn0805M04              1.001466e-05  1.000504e-05  1.000503e-05  4.931547e-09             -             -             -             -  9.120275e-08             -             -             -  5.820727e-09  1.556921e-06  5.288482e-09  2.773713e-06             -             -  9.008516e-08  1.964926e-09             -             -           -  4.592040e-09
RSyn0810M02              9.917066e-06  9.917078e-06  9.917095e-06 -8.299707e-08             -             -             -             - -1.607286e-07             -             -             - -7.875954e-08  3.490312e-06 -1.045394e-07  2.354797e-06             -             -  8.876359e-08 -8.915948e-08             -             -           - -1.070118e-07
RSyn0810M03              1.000224e-05  1.000224e-05  1.000224e-05  2.163494e-09             -             -             -             -  1.625473e-07             -             -             -  6.751148e-09  1.802702e-06  9.751801e-09  2.604355e-06             -             -  1.374800e-06  9.705764e-06             -             -           -  9.720049e-06
RSyn0810M04              1.006212e-05  1.006212e-05  1.006212e-05  3.679578e-06             -             -             -             - -8.166415e-03             -             -             -             -  2.791197e-06  6.598824e-08  3.431825e-06             -             - -3.116840e-04 -3.087308e-04             -             -           -  6.150327e-08
RSyn0815M02              1.019023e-05  1.018899e-05  1.018899e-05  1.889036e-07             -             -             -             -  4.122364e-07             -             -             -             -  4.407352e-06  1.355683e-07  1.503377e-06             -             -  4.105770e-07 -3.403841e-04             -             -           -  1.442804e-07
RSyn0815M03              9.961403e-06  9.961247e-06  9.961516e-06 -3.884472e-08             -             -             -             - -2.786602e-06             -             -             -             -  2.469799e-06 -4.735107e-08  8.083339e-06             -             -  1.351757e-07  3.651123e-06             -             -           - -4.343946e-08
RSyn0815M04              1.010146e-05  1.010095e-05  1.010095e-05  1.008633e-07             -             -             -             -  7.514808e-06             -             -             -             -             -  1.019274e-07  8.415162e-06             -             -  3.025476e-07  8.612932e-08             -             -           -  1.009397e-07
RSyn0820M02              1.009239e-05  1.009241e-05  1.009239e-05  9.231831e-08             -             -             -             -  2.744253e-07             -             -             -             -  1.261900e-06  9.413651e-08  1.925974e-06             -             -  2.752719e-07 -6.066295e-04             -             -           -  6.472324e-08
RSyn0820M03              9.970929e-06  9.970934e-06  1.006553e-05  5.760489e-06             -             -             -             -  7.794006e-06             -             -             -             -             -  1.537521e-09  2.350650e-06             -             -  4.234040e-06 -3.493231e-04             -             -           -  7.417508e-06
RSyn0820M04              1.008206e-05  1.008215e-05  1.008207e-05  1.191216e-06             -             -             -             -  2.485750e-07             -             -             -             -             -  1.123303e-07  1.778520e-06             -             -  2.478589e-07 -2.165334e-02             -             -           -  9.895576e-06
RSyn0830M02              1.000181e-05  1.000244e-05  1.001174e-05  2.239044e-03             -             -             -             - -2.332044e-08             -             -             -             -  3.555803e-06 -3.466890e-08  6.558302e-06             -             -  1.777471e-06             -             -             -           -  1.771309e-06
RSyn0830M03              1.020851e-05  1.020851e-05  1.021713e-05  8.372414e-03             -             -             -             -  1.861206e-07             -             -             -             -  4.223637e-06  2.392689e-07  4.115567e-06             -             -  1.865099e-07 -6.500830e-04             -             -           -  1.388883e-07
RSyn0830M04              1.016257e-05  1.016266e-05             -  8.972998e-03             -             -             -             -  4.408926e-06             -             -             -             -             -  1.495855e-07  2.618038e-06             -             -  9.356138e-06  5.199293e-06             -             -           -  1.007757e-05
RSyn0840M02              9.996624e-06  9.996641e-06  1.000596e-05 -3.345653e-09             -             -             -             - -7.036088e-08             -             -             -             -  5.879298e-06  4.268760e-09  5.739501e-06             -             - -6.476454e-08 -4.741804e-03             -             -           - -8.983236e-10
RSyn0840M03              9.873082e-06  9.873082e-06  9.873232e-06  1.030577e-03             -             -             -             - -1.432766e-07             -             -             -             -  1.658293e-06 -1.255707e-07  1.786246e-06             -             -  2.373721e-06 -1.047602e-02             -             -           -  2.396099e-06
RSyn0840M04              1.018862e-05             -             -  2.802856e-03             -             -             -             - -1.275921e-01             -             -             -             -             -  2.119145e-07  4.024833e-06             -             -  4.606580e-04 -4.792379e-04             -             -           -  9.571150e-06
Syn05M02                 1.012731e-05  1.012739e-05  1.017348e-05  1.272152e-07             -             -  1.272448e-07  1.272560e-07  1.261624e-07  1.258197e-07             -             -  1.289685e-07  2.362931e-06  1.746740e-07  1.940952e-06  1.284044e-07  1.272241e-07  1.233150e-07  1.261342e-07             -  1.261542e-07           -  1.273572e-07
Syn05M03                 9.939328e-06  9.939338e-06  9.939603e-06 -6.077164e-08             -             - -6.072762e-08 -6.072976e-08 -6.087150e-08 -6.299118e-08             -             - -5.957696e-08  2.111024e-06 -6.405899e-08  2.247161e-06 -6.067515e-08 -6.053945e-08 -6.535022e-08 -6.128888e-08             - -6.122449e-08           - -6.046589e-08
Syn05M04                 1.006267e-05  1.006267e-05  1.006269e-05  6.257274e-08             -             -  6.261265e-08  6.261208e-08 -8.197087e-07  6.257391e-08             -             -  6.429908e-08  2.187444e-06  6.423398e-08  2.219444e-06  6.264009e-08  9.229171e-08  6.292034e-08  6.202336e-08             -  6.217105e-08           -  6.266971e-08
Syn10M02                 9.866329e-06  9.866333e-06  9.866559e-06 -1.337488e-07             -             - -1.332368e-07 -1.336130e-07 -1.649378e-06 -1.361851e-07             -             - -1.308731e-07  2.456384e-06 -1.272531e-07  2.944950e-06  9.586760e-08 -1.332130e-07 -1.312064e-07 -1.360561e-07             - -1.307837e-07           - -1.296051e-07
Syn10M03                 9.939058e-06  9.939058e-06  9.939058e-06 -6.102812e-08             -             - -6.088620e-08 -6.089370e-08 -6.313981e-08 -6.387606e-08             -             - -5.997189e-08  3.421083e-06 -4.387981e-08  3.684611e-06 -6.088917e-08 -6.072276e-08 -6.323729e-08 -6.379576e-08             - -6.048940e-08           - -5.972357e-08
Syn10M04                 1.007428e-05  1.007427e-05  1.007439e-05  7.415743e-08             -             -  7.452147e-08  7.428942e-08  7.160014e-08  6.511421e-08             -             -  7.961986e-08  1.352032e-06  7.422055e-08  3.625561e-06  2.371271e-06  7.422950e-08  6.752854e-08 -6.429081e-04             -  6.106490e-06           -  8.163162e-08
Syn15M02                 9.963001e-06  9.963001e-06  9.963036e-06 -3.709471e-08             -             - -3.701180e-08 -3.701335e-08 -3.600330e-05 -2.526836e-07             -             - -3.692016e-08  2.470262e-07 -3.162103e-08  1.841244e-06 -3.042124e-08 -3.706304e-08 -3.764425e-08 -8.544773e-03             - -3.711645e-08           - -3.614316e-08
Syn15M03                 9.941548e-06  9.941543e-06  9.942151e-06 -5.854269e-08             -             - -5.846076e-08 -5.846944e-08 -8.306982e-06 -1.783471e-05             -             - -5.758592e-08  5.079949e-06 -5.711917e-08  2.269937e-06 -5.008360e-08 -5.853637e-08 -9.961605e-08 -3.387965e-03             - -5.855206e-08           - -5.622453e-08
Syn15M04                 9.941444e-06  9.941430e-06  9.941592e-06 -5.864533e-08             -             - -5.730396e-08  1.887797e-06 -3.683814e-06 -5.899116e-08             -             - -5.681835e-08  2.001766e-06 -5.634876e-08  4.213648e-06             -             - -8.702759e-08 -6.682908e-08             -             -           - -5.532281e-08
Syn20M02                 1.011588e-05  1.011637e-05  1.011610e-05  1.157903e-07             -             -  9.259396e-06  9.360834e-06  1.083506e-07             -             -             -  1.192319e-07  3.659584e-06  1.251398e-07  3.801210e-06             -             -  1.095999e-07 -9.908129e-04             -             -           -  1.178270e-07
