                              baronBM      baronBMc       baronHR      baronHRc       cplexBM      cplexHRc      knitroBM     knitroBMc      knitroHR     knitroHRc       mosekBM     mosekBM.2      mosekBMc    mosekBMc.2      mosekHRc    mosekHRc.2   sbbknitroBM  sbbknitroBMc   sbbknitroHR  sbbknitroHRc    sbbmosekBM   sbbmosekBMc  sbbmosekHR   sbbmosekHRc
Syn10M03                 6.104038e-08  6.104038e-08  6.104038e-08             -             -             -  6.088620e-08  6.089370e-08  6.700485e-08  8.114484e-08             -             -  5.997189e-08 -3.421083e-06  4.387981e-08 -3.684611e-06  6.088917e-08  6.072276e-08  6.323729e-08  6.379576e-08             -  6.048940e-08           -  5.972357e-08
Syn10M04                -7.417455e-08 -7.416681e-08 -7.428982e-08             -             -             - -7.429513e-08 -7.428942e-08 -6.873505e-08 -5.938281e-08             -             - -7.961986e-08 -1.352032e-06 -7.422055e-08 -3.625561e-06 -2.828452e-07 -7.422950e-08 -6.752854e-08  6.429081e-04             - -8.381964e-08           - -8.163162e-08
Syn15M02                 3.709787e-08  3.709787e-08  3.706407e-08             -             -             -  3.701180e-08  3.701335e-08  3.913261e-08  1.527729e-07             -             -  3.692016e-08 -2.470262e-07  3.162103e-08 -1.841244e-06  3.042124e-08  3.706304e-08  3.764425e-08             -             -  3.711645e-08           -  3.614316e-08
Syn15M03                 5.855134e-08  5.855736e-08  5.794938e-08             -             -             -  5.846076e-08  5.846944e-08  5.873298e-08  6.250896e-08             -             -  5.758592e-08 -5.079949e-06  5.711917e-08 -2.269937e-06  5.008360e-08  5.853637e-08  9.961605e-08             -             -  5.855206e-08           -  5.622453e-08
Syn15M04                 5.865509e-08  5.867004e-08  5.850725e-08             -             -             -  5.856467e-08  5.857434e-08  6.027065e-08  5.866267e-08             -             -  5.681835e-08 -2.001766e-06  5.634876e-08  5.813632e-08             -             -  8.702759e-08  6.682908e-08             -             -           -  5.532281e-08
Syn20M02                -1.157765e-07 -1.162667e-07 -1.159963e-07             -             -             - -1.159792e-07 -1.159523e-07 -1.158982e-07             -             -             - -1.192319e-07 -3.659584e-06 -1.251398e-07 -3.801210e-06             -             - -1.095999e-07  9.908129e-04             -             -           - -1.178270e-07
Syn20M03                 3.139025e-08  3.140134e-08  3.139538e-08             -             -             -  3.117708e-08             -  3.129688e-08             -             -             -  2.230870e-08 -3.327816e-06  2.456456e-08 -3.674944e-06             -             -  3.664726e-08             -             -             -           -  2.941381e-08
Syn20M04                 1.860789e-08  1.859454e-08  1.860625e-08             -             -             -             -             -  1.850867e-08             -             -             -             - -9.044583e-07  3.264683e-09 -3.669428e-06             -             -  2.281626e-08  4.912453e-04             -             -           -  1.437339e-08
Syn30M02                -1.089932e-07 -1.089932e-07 -1.089934e-07             -             -             -             -             - -1.098571e-07 -8.192367e-08             -             - -2.994881e-07 -1.778462e-05 -2.379091e-07 -1.559446e-05             -             - -1.245286e-07             -             -             -           - -2.464589e-07
Syn30M03                 2.816215e-08  2.816206e-08  1.963223e-08             -             -             -             -             -  2.735037e-08             -             -             -             - -1.281267e-05 -9.505159e-08 -1.589323e-05             -             -  1.597926e-08             -             -             -           - -4.215868e-08
Syn30M04                -1.313969e-09 -1.313925e-09 -7.267636e-09             -             -             -             -             - -2.141068e-09  2.683511e-08             -             -             - -1.566405e-05 -1.084317e-07 -1.266297e-05             -             - -1.152162e-08  5.293889e-08             -             -           - -9.593357e-09
Syn40M02                 1.114464e-07  1.115101e-07  1.116341e-07             -             -             -             -             -  5.648769e-07             -             -             -             - -1.239964e-05 -3.894966e-08 -1.224009e-05             -             -  1.830014e-07  7.333531e-04             -             -           - -2.432513e-08
Syn40M03                -1.187193e-07 -1.204689e-07 -1.411110e-07             -             -             -             -             - -3.062258e-07 -1.197054e-02             -             -             - -1.800424e-05 -4.923604e-07 -1.868148e-05             -             - -1.121310e-07  2.340149e-09             -             -           - -4.565012e-07
Syn40M04                -2.352458e-08 -2.374369e-08 -2.708132e-08             -             -             -             -             - -2.440713e-08             -             -             -             -             - -7.500433e-08 -7.848500e-06             -             -  1.405482e-08  4.822527e-04             -             -           - -2.784363e-08
RSyn0805                 3.063854e-07  3.063854e-07  3.063854e-07             -             -             -  3.063357e-07  3.066837e-07  3.063604e-07  3.146203e-07             -             -  3.064119e-07 -1.605898e-07  3.246079e-07  3.064862e-07             -             -  3.087642e-07  3.283841e-07             -             -           -  3.176127e-07
RSyn0810                 1.678557e-07  1.678557e-07  1.678557e-07             -             -             -  1.677955e-07  1.677358e-07  1.681210e-07             -             -             - -4.066701e-07  1.675394e-07  1.708538e-07 -7.584272e-08             -             -  1.687736e-07  1.642326e-07             -             -           -  1.693319e-07
RSyn0815                 2.760254e-07  1.614460e-07  2.574491e-07             -             -             -  2.759288e-07  2.760189e-07  2.759926e-07             -             -             -  2.766460e-07  9.596603e-08  2.774008e-07 -1.088118e-07             -             -  2.822927e-07  2.827050e-07             -             -           -  2.765395e-07
RSyn0820                 4.099772e-07  4.099773e-07  4.099763e-07             -             -             -  4.095731e-07  4.096784e-07  4.096911e-07             -             -             -  3.810332e-07 -4.218283e-06  3.748885e-07 -4.013031e-06             -             -  3.723629e-07  4.227055e-07             -             -           -  4.034248e-07
RSyn0830                -4.411614e-08 -2.956181e-07 -4.403368e-08             -             -             -             -             - -4.027434e-08             -             -             - -5.891931e-08 -1.505551e-06 -1.200888e-07 -1.855956e-06             -             - -2.798757e-08             -             -             -           -  1.966339e-08
RSyn0840                -2.153099e-08 -7.610663e-08 -2.573150e-08             -             -             -             -             -  7.916253e-08             -             -             - -2.717693e-08 -2.363529e-06 -5.317719e-08 -5.745933e-07             -             -  6.855476e-09             -             -             -           - -1.338724e-08
Syn05                   -1.071918e-09 -1.071918e-09 -1.510886e-08             -             -             - -1.071919e-09 -1.071919e-09  1.132164e-07 -1.048221e-08             -             - -1.042511e-09 -1.071919e-09 -4.579287e-09 -1.071919e-09 -1.116564e-09 -8.684504e-10 -1.028386e-08  1.429991e-10             - -3.610127e-10           - -3.072840e-09
Syn10                    3.550693e-07  3.550693e-07  2.309816e-07             -             -             -  3.549604e-07  3.549796e-07  3.550948e-07  3.568939e-07             -             - -4.257662e-07  3.491331e-07  3.424940e-07  3.531770e-07  3.549491e-07  3.555436e-07  3.615833e-07  3.583884e-07             -  3.582922e-07           -  3.549420e-07
Syn15                   -1.116167e-07 -3.418035e-08 -3.419399e-08             -             -             - -3.434026e-08 -3.432053e-08 -3.418035e-08             -             -             - -3.467260e-08 -9.133441e-07 -4.939397e-08 -5.836601e-07 -3.442222e-08 -3.488560e-08 -2.825179e-08 -2.690647e-08             - -3.478229e-08           - -4.587946e-08
Syn20                   -1.134260e-08 -1.134242e-08 -1.134370e-08             -             -             - -1.179525e-08 -1.170058e-08 -1.134231e-08 -5.286283e-09             -             - -3.602812e-08 -3.105414e-06 -5.099830e-08 -2.810136e-06 -5.219720e-08 -1.073897e-08  5.620662e-09 -1.522488e-09             - -3.252091e-08           - -8.830799e-08
Syn30                   -1.738863e-08 -3.699824e-08 -1.194302e-07             -             -             - -1.873231e-08 -1.849241e-08 -1.832424e-08  1.566237e-07             -             - -2.538186e-07 -1.090460e-05 -2.144235e-07 -1.054900e-05             -             - -9.715031e-08  2.364448e-08             -             -           - -1.127610e-07
Syn40                    6.118228e-08  4.693349e-08 -2.135157e-07             -             -             -  5.937907e-08  5.991894e-08  5.970894e-08             -             -             - -7.867295e-08 -2.592353e-05 -1.789563e-07 -1.606635e-05             -             - -8.395589e-08             -             -             -           - -5.827154e-08
proc_100                            -             -  3.590575e-08             -             -             -             -             -  3.511506e-08             -             -             -             -             - -5.906686e-08 -2.801997e-06             -             - -4.945520e-06  4.200365e-07             -             -           -             -
proc_100b                           -             -  5.495284e-06             -             -             -             -             -  5.494078e-06             -             -             -             -             -  4.140633e-09 -3.110374e-07             -             - -5.707447e-07             -             -             -           -             -
proc_21                 -2.695223e-07 -2.368903e-07 -2.379531e-07             -             -             - -2.374653e-07 -2.375733e-07 -2.373263e-07             -             -             - -2.055762e-05 -1.046554e-06 -2.676201e-07 -8.312808e-06 -2.379501e-07 -2.374393e-07             -             -             - -2.626666e-07           -             -
proc_21b                 1.837218e-05  1.837216e-05  1.837158e-05             -             -             -  1.837175e-05  1.837163e-05  1.837175e-05             -             -             - -1.506974e-06  1.766860e-05  4.017638e-08  1.797940e-05  1.835490e-05  1.837163e-05  1.837136e-05             -             -             -           -  1.837959e-05
proc_31                  1.816483e-05  1.816483e-05  1.816483e-05             -             -             -  1.816448e-05  1.816428e-05  1.816411e-05             -             -             -  1.816468e-05  1.402469e-05  6.914981e-08  1.815320e-05  1.821068e-05  1.816442e-05             -             -             -             -           -             -
