                         baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
proc_100                     1.0       1.0        -       1.0        -         -         -        1.0         -          -        -          -       1.0           -         -           -            -             -            -             -           -            -           -            -
proc_100b                    1.0       1.0        -       1.0        -         -         -        1.0         -          -        -          -       1.0         1.0         -           -            -             -            -             -           -            -           -            -
proc_21                        -         -        -       3.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
proc_21b                       -         -        -       3.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
proc_31                        -         -        -       3.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
proc_31b                       -         -        -       3.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
proc_36                        -         -        -       3.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
proc_36b                       -         -        -       3.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
proc_48                        -         -        -       3.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
proc_48b                       -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
exp_random_10_10_10_1          -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -          1.0           1.0            -             -           -          1.0           -            -
exp_random_10_10_10_10         -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
exp_random_10_10_10_2          -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
exp_random_10_10_10_3          -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -          1.0             -            -             -           -            -           -            -
exp_random_10_10_10_4          -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -          1.0             -            -             -           -            -           -            -
exp_random_10_10_10_5          -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
exp_random_10_10_10_6          -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
exp_random_10_10_10_7          -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
exp_random_10_10_10_8          -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
exp_random_10_10_10_9          -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -           1.0            -             -           -          1.0           -            -
exp_random_10_10_5_1           -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
exp_random_10_10_5_10          -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -          1.0           1.0            -             -           -          1.0           -            -
